iterations,pi_aprox,difference
303,3.036303520203,0.105289
304,3.105263233185,0.036329
305,3.108196735382,0.033396
306,3.032679796219,0.108913
307,3.218240976334,-0.076648
308,3.077922105789,0.063671
309,3.055016279221,0.086576
310,3.096774101257,0.044819
311,3.048231601715,0.093361
312,3.064102649689,0.077490
313,2.939297199249,0.202295
314,3.057324886322,0.084268
315,3.073015928268,0.068577
316,3.253164529800,-0.111572
317,3.154574155807,-0.012982
318,3.194968461990,-0.053376
319,3.047021865845,0.094571
320,3.075000047684,0.066593
321,3.127725839615,0.013867
322,3.378881931305,-0.237289
323,3.219814300537,-0.078222
324,3.135802507401,0.005790
325,3.212307691574,-0.070715
326,3.079754590988,0.061838
327,3.290519952774,-0.148927
328,3.060975551605,0.080617
329,3.088145971298,0.053447
330,3.103030204773,0.038562
331,3.190332412720,-0.048740
332,3.072289228439,0.069303
333,3.099099159241,0.042493
334,3.185628652573,-0.044036
335,3.176119327545,-0.034527
336,3.000000000000,0.141593
337,3.133531093597,0.008062
338,3.100591659546,0.041001
339,3.327433586121,-0.185841
340,3.270588159561,-0.128996
341,3.319648027420,-0.178055
342,3.169590711594,-0.027998
343,3.055393695831,0.086199
344,3.244186162949,-0.102594
345,3.072463750839,0.069129
346,3.202312231064,-0.060720
347,3.216138362885,-0.074546
348,3.137931108475,0.003662
349,3.174785137177,-0.033192
350,2.902857065201,0.238736
351,3.076923131943,0.064670
352,3.181818246841,-0.040226
353,3.161473035812,-0.019880
354,3.310734510422,-0.169142
355,3.132394313812,0.009198
356,3.123595476151,0.017997
357,3.238095283508,-0.096503
358,3.251396656036,-0.109804
359,3.030640602112,0.110952
360,3.144444465637,-0.002852
361,3.036010980606,0.105582
362,3.171270608902,-0.029678
363,2.986225843430,0.155367
364,3.186813116074,-0.045220
365,3.090410947800,0.051182
366,2.983606576920,0.157986
367,3.204359769821,-0.062767
368,2.923913002014,0.217680
369,3.067750692368,0.073842
370,3.167567491531,-0.025975
371,3.169811248779,-0.028219
